danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.495,0.966,3,-2.284,1,0.114,0.017,0.0,0.606,0.553,139.931,audio_features,4yVPaA6DOfwbqZIQNv4G5U,spotify:track:4yVPaA6DOfwbqZIQNv4G5U,https://api.spotify.com/v1/tracks/4yVPaA6DOfwbqZIQNv4G5U,https://api.spotify.com/v1/audio-analysis/4yVPaA6DOfwbqZIQNv4G5U,215933,4
0.536,0.768,10,-5.948,0,0.0347,0.00433,0.0,0.114,0.545,77.217,audio_features,2Bs4jQEGMycglOfWPBqrVG,spotify:track:2Bs4jQEGMycglOfWPBqrVG,https://api.spotify.com/v1/tracks/2Bs4jQEGMycglOfWPBqrVG,https://api.spotify.com/v1/audio-analysis/2Bs4jQEGMycglOfWPBqrVG,228133,4
0.524,0.831,2,-4.174,1,0.036,0.00229,0.0,0.171,0.299,115.067,audio_features,7GtGeeChOx4NS77bqK8SUx,spotify:track:7GtGeeChOx4NS77bqK8SUx,https://api.spotify.com/v1/tracks/7GtGeeChOx4NS77bqK8SUx,https://api.spotify.com/v1/audio-analysis/7GtGeeChOx4NS77bqK8SUx,196053,4
0.565,0.862,4,-3.715,1,0.0326,0.0014,0.0,0.105,0.647,122.994,audio_features,6HFywc5eQYRRYHYTatCb5Y,spotify:track:6HFywc5eQYRRYHYTatCb5Y,https://api.spotify.com/v1/tracks/6HFywc5eQYRRYHYTatCb5Y,https://api.spotify.com/v1/audio-analysis/6HFywc5eQYRRYHYTatCb5Y,229040,4
0.681,0.582,6,-7.76,0,0.0313,0.22,0.0,0.119,0.221,124.038,audio_features,3JjnGLK8IxkNLvo8Lb3KOM,spotify:track:3JjnGLK8IxkNLvo8Lb3KOM,https://api.spotify.com/v1/tracks/3JjnGLK8IxkNLvo8Lb3KOM,https://api.spotify.com/v1/audio-analysis/3JjnGLK8IxkNLvo8Lb3KOM,248360,4
0.508,0.895,9,-3.745,1,0.0414,0.0424,0.0,0.198,0.495,168.941,audio_features,5UgsZiYk1lkEobuPHmRtWm,spotify:track:5UgsZiYk1lkEobuPHmRtWm,https://api.spotify.com/v1/tracks/5UgsZiYk1lkEobuPHmRtWm,https://api.spotify.com/v1/audio-analysis/5UgsZiYk1lkEobuPHmRtWm,201853,4
0.515,0.773,6,-4.848,1,0.0479,0.23,1.29e-06,0.0938,0.379,128.001,audio_features,0L5gFNrzHyh4OhMwEz6DGS,spotify:track:0L5gFNrzHyh4OhMwEz6DGS,https://api.spotify.com/v1/tracks/0L5gFNrzHyh4OhMwEz6DGS,https://api.spotify.com/v1/audio-analysis/0L5gFNrzHyh4OhMwEz6DGS,210893,4
0.672,0.52,8,-7.747,1,0.0353,0.859,0.0,0.115,0.37,120.001,audio_features,5O2P9iiztwhomNh8xkR9lJ,spotify:track:5O2P9iiztwhomNh8xkR9lJ,https://api.spotify.com/v1/tracks/5O2P9iiztwhomNh8xkR9lJ,https://api.spotify.com/v1/audio-analysis/5O2P9iiztwhomNh8xkR9lJ,226600,4
0.558,0.916,1,-3.145,0,0.0839,0.0278,0.0,0.0296,0.85,142.984,audio_features,4JaLkM90MJutDAl5jD9BZX,spotify:track:4JaLkM90MJutDAl5jD9BZX,https://api.spotify.com/v1/tracks/4JaLkM90MJutDAl5jD9BZX,https://api.spotify.com/v1/audio-analysis/4JaLkM90MJutDAl5jD9BZX,199720,4
0.681,0.864,3,-3.276,1,0.0301,0.00477,0.0,0.122,0.921,132.929,audio_features,34aYkYrY3sXhEU9O4VQgtB,spotify:track:34aYkYrY3sXhEU9O4VQgtB,https://api.spotify.com/v1/tracks/34aYkYrY3sXhEU9O4VQgtB,https://api.spotify.com/v1/audio-analysis/34aYkYrY3sXhEU9O4VQgtB,174080,4
0.425,0.668,9,-7.542,1,0.0474,0.231,0.0,0.0681,0.351,149.924,audio_features,4lrC9aBnzlG9U5DDoHMnyt,spotify:track:4lrC9aBnzlG9U5DDoHMnyt,https://api.spotify.com/v1/tracks/4lrC9aBnzlG9U5DDoHMnyt,https://api.spotify.com/v1/audio-analysis/4lrC9aBnzlG9U5DDoHMnyt,256707,4
0.678,0.933,2,-4.959,1,0.14,0.0734,0.0,0.0863,0.336,120.572,audio_features,6AzCBeiDuUXGXjznBufswB,spotify:track:6AzCBeiDuUXGXjznBufswB,https://api.spotify.com/v1/tracks/6AzCBeiDuUXGXjznBufswB,https://api.spotify.com/v1/audio-analysis/6AzCBeiDuUXGXjznBufswB,214720,4
0.395,0.906,0,-4.683,1,0.0866,0.0183,0.0,0.382,0.196,147.864,audio_features,6ibWCCEne6WEqDBAv7BeXv,spotify:track:6ibWCCEne6WEqDBAv7BeXv,https://api.spotify.com/v1/tracks/6ibWCCEne6WEqDBAv7BeXv,https://api.spotify.com/v1/audio-analysis/6ibWCCEne6WEqDBAv7BeXv,231707,4
0.59,0.944,10,-4.323,1,0.0499,0.00154,0.0,0.322,0.596,103.991,audio_features,2skzofTV9Ys3eN70pghEHL,spotify:track:2skzofTV9Ys3eN70pghEHL,https://api.spotify.com/v1/tracks/2skzofTV9Ys3eN70pghEHL,https://api.spotify.com/v1/audio-analysis/2skzofTV9Ys3eN70pghEHL,266600,4
0.562,0.703,1,-5.457,1,0.0361,0.00205,0.0,0.15,0.538,122.986,audio_features,23xx852ectQgmp1G78zSpd,spotify:track:23xx852ectQgmp1G78zSpd,https://api.spotify.com/v1/tracks/23xx852ectQgmp1G78zSpd,https://api.spotify.com/v1/audio-analysis/23xx852ectQgmp1G78zSpd,194200,4
0.554,0.335,5,-5.513,1,0.0281,0.618,0.0,0.0927,0.298,133.709,audio_features,1dD1aarWotVIiFo5gGdMc2,spotify:track:1dD1aarWotVIiFo5gGdMc2,https://api.spotify.com/v1/tracks/1dD1aarWotVIiFo5gGdMc2,https://api.spotify.com/v1/audio-analysis/1dD1aarWotVIiFo5gGdMc2,158320,4
0.495,0.883,6,-4.722,1,0.0402,0.00287,2.26e-05,0.0978,0.642,135.899,audio_features,4bqIFmnVAsndYWuXxAwQet,spotify:track:4bqIFmnVAsndYWuXxAwQet,https://api.spotify.com/v1/tracks/4bqIFmnVAsndYWuXxAwQet,https://api.spotify.com/v1/audio-analysis/4bqIFmnVAsndYWuXxAwQet,198653,4
0.663,0.857,2,-2.16,1,0.0544,0.0542,0.0,0.144,0.931,126.039,audio_features,6Vh03bkEfXqekWp7Y1UBRb,spotify:track:6Vh03bkEfXqekWp7Y1UBRb,https://api.spotify.com/v1/tracks/6Vh03bkEfXqekWp7Y1UBRb,https://api.spotify.com/v1/audio-analysis/6Vh03bkEfXqekWp7Y1UBRb,200213,4
0.637,0.93,4,-2.632,1,0.0511,0.0177,0.0,0.452,0.886,90.014,audio_features,4My8w8AA1JpG6E5SiAPvJL,spotify:track:4My8w8AA1JpG6E5SiAPvJL,https://api.spotify.com/v1/tracks/4My8w8AA1JpG6E5SiAPvJL,https://api.spotify.com/v1/audio-analysis/4My8w8AA1JpG6E5SiAPvJL,182867,4
0.709,0.22,7,-11.856,1,0.0327,0.811,0.0,0.175,0.53,110.076,audio_features,0TAmnCzOtqRfvA38DDLTjj,spotify:track:0TAmnCzOtqRfvA38DDLTjj,https://api.spotify.com/v1/tracks/0TAmnCzOtqRfvA38DDLTjj,https://api.spotify.com/v1/audio-analysis/0TAmnCzOtqRfvA38DDLTjj,219040,4
0.638,0.942,5,-4.163,0,0.0857,0.015,0.0,0.31,0.745,142.896,audio_features,3lnjFENd7rHxPYM9b964Md,spotify:track:3lnjFENd7rHxPYM9b964Md,https://api.spotify.com/v1/tracks/3lnjFENd7rHxPYM9b964Md,https://api.spotify.com/v1/audio-analysis/3lnjFENd7rHxPYM9b964Md,164680,4
0.538,0.819,4,-2.662,1,0.0435,0.0445,0.0,0.215,0.478,82.085,audio_features,0KqlLyIGuBZWqzNwP9rypc,spotify:track:0KqlLyIGuBZWqzNwP9rypc,https://api.spotify.com/v1/tracks/0KqlLyIGuBZWqzNwP9rypc,https://api.spotify.com/v1/audio-analysis/0KqlLyIGuBZWqzNwP9rypc,203547,4
0.44,0.824,9,-4.859,1,0.073,0.0164,0.0,0.0955,0.652,99.039,audio_features,4fa1TicRIFloaEVUubYfTV,spotify:track:4fa1TicRIFloaEVUubYfTV,https://api.spotify.com/v1/tracks/4fa1TicRIFloaEVUubYfTV,https://api.spotify.com/v1/audio-analysis/4fa1TicRIFloaEVUubYfTV,176120,4
0.506,0.909,8,-3.629,1,0.0528,0.0261,0.0,0.155,0.814,168.021,audio_features,4GF00uRxC4ECrxNEbnapqf,spotify:track:4GF00uRxC4ECrxNEbnapqf,https://api.spotify.com/v1/tracks/4GF00uRxC4ECrxNEbnapqf,https://api.spotify.com/v1/audio-analysis/4GF00uRxC4ECrxNEbnapqf,200267,4
0.599,0.595,2,-5.316,1,0.0281,0.0634,0.0,0.103,0.474,117.031,audio_features,23eQyAz9tzvrKsG0kAnrja,spotify:track:23eQyAz9tzvrKsG0kAnrja,https://api.spotify.com/v1/tracks/23eQyAz9tzvrKsG0kAnrja,https://api.spotify.com/v1/audio-analysis/23eQyAz9tzvrKsG0kAnrja,212893,4
0.72,0.725,4,-5.996,1,0.0463,0.00603,0.0,0.24,0.679,126.471,audio_features,6Fe0bY8vDxBnN7rDgu3ACE,spotify:track:6Fe0bY8vDxBnN7rDgu3ACE,https://api.spotify.com/v1/tracks/6Fe0bY8vDxBnN7rDgu3ACE,https://api.spotify.com/v1/audio-analysis/6Fe0bY8vDxBnN7rDgu3ACE,200920,4
0.373,0.575,2,-6.862,1,0.0915,0.302,0.0,0.125,0.5,72.595,audio_features,6l3vk93IWfe0wq396JTCM6,spotify:track:6l3vk93IWfe0wq396JTCM6,https://api.spotify.com/v1/tracks/6l3vk93IWfe0wq396JTCM6,https://api.spotify.com/v1/audio-analysis/6l3vk93IWfe0wq396JTCM6,182040,4
0.569,0.911,2,-2.705,1,0.0772,0.0194,0.0,0.0925,0.51,160.054,audio_features,02O8hDaIJPEUHh9XEj0u76,spotify:track:02O8hDaIJPEUHh9XEj0u76,https://api.spotify.com/v1/tracks/02O8hDaIJPEUHh9XEj0u76,https://api.spotify.com/v1/audio-analysis/02O8hDaIJPEUHh9XEj0u76,178440,4
0.514,0.727,0,-6.131,1,0.0492,0.126,0.0,0.0978,0.37,147.917,audio_features,6M31fPFCYB8Job3MCjjrDV,spotify:track:6M31fPFCYB8Job3MCjjrDV,https://api.spotify.com/v1/tracks/6M31fPFCYB8Job3MCjjrDV,https://api.spotify.com/v1/audio-analysis/6M31fPFCYB8Job3MCjjrDV,200400,4
0.495,0.585,9,-5.49,1,0.0311,0.329,0.0,0.406,0.318,121.998,audio_features,0OXbRangbVBMejFX3EV6DN,spotify:track:0OXbRangbVBMejFX3EV6DN,https://api.spotify.com/v1/tracks/0OXbRangbVBMejFX3EV6DN,https://api.spotify.com/v1/audio-analysis/0OXbRangbVBMejFX3EV6DN,208040,4
